"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"Free Library of Philadelphia","Book of Hours, Use of Utrecht; Scenes from the Life of Christ","Lewis E 130","Dutch, Middle (ca.1050-1350); Latin","1475-1500; circa 1520","1475-1500","Leiden, Netherlands","Book of Hours;15th century;16th century;Dutch;Gothic;Netherlands;Devotion;Private devotional text;Miniature","http://openn.library.upenn.edu/Data/0023/lewis_e_130/data/web/5327_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_130.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_130.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_130/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_130/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_130/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_130/index.html#page/1/mode/2up</a>,"","This compact Book of Hours, which lacks certain frequently-found texts including the Hours of the Virgin, Penitential Psalms, and Office of the Dead, contains Dutch translations of other, less common devotional texts first authored by Geert Groote around 1380. The calendar is of the Use of Utrecht, with an entry in red for Saint Jeroen (17 August, fol. 8v). The Hours of Eternal Wisdom occurs directly after the calendar. The miniatures in this Book of Hours, of smaller dimensions than the text pages, were inserted into the Hours of the Cross at least twenty years after the manuscript was produced. They are inserted randomly within the text and do not mark the traditional divisions of the Hours of the Cross. These miniatures were painted by a member of a group of anonymous artists known collectively as the Masters of the Suffrages. These artists were active in Leiden during the first decades of the sixteenth century.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_130/lewis_e_130.html">http://138.197.87.173/bibliophilly/collation/lewis_e_130/lewis_e_130.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Utrecht","Lewis E 131","Dutch, Middle (ca.1050-1350)","Mid-15th century","1440-1460","Netherlands","15th century;Netherlands;Dutch;Book of Hours;Private devotional text;Devotion;Christian;Miniature;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_131/data/web/5331_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_131.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_131.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_131/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_131/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_131/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_131/index.html#page/1/mode/2up</a>,"","This is a mid-fifteenth-century Book of Hours of the Use of Utrecht, written in Dutch using the Geert Groote translation. Large penwork initials and penwork borders mark the main textual divisions. The book contains eight full-page miniatures in ink and colored wash, with limited gilding for the haloes. These miniatures are tipped-in and do not relate iconographically to the portions of the text that they introduce, and as such were likely produced separately. The miniatures on 61v, 87v, 125v, 134v, and 234v include explanatory tituli in Dutch.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_131/lewis_e_131.html">http://138.197.87.173/bibliophilly/collation/lewis_e_131/lewis_e_131.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Utrecht","Lewis E 132","Dutch, Middle (ca.1050-1350); Latin","Circa 1500","1500","Southern Netherlands","16th century;Netherlands;Dutch;Book of Hours;Private devotional text;Devotion;Christian;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_132/data/web/5404_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_132.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_132.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_132/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_132/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_132/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_132/index.html#page/1/mode/2up</a>,"","This manuscript is a Book of Hours for the Use of Utrecht, written in Dutch and Latin in hybrida script circa 1500, with full floral borders inhabited by a variety of creatures marking the major textual divisions and many hour divisions. The texts include the Hours of the Virgin, Penitential Psalms and Litany, and Office of the Dead, all in the translations of Gerard Groote, but also the Hours for the Days of the Week in Latin and prayers in both Dutch and Latin.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Troyes","Lewis E 133","Latin; French, Middle (ca.1400-1600)","Between 1455 and 1465","1455-1465","Troyes, France","15th century;France;French;Book of Hours;Private devotional text;Devotion;Miniature;Illustration;Illumination;Gothic","http://openn.library.upenn.edu/Data/0023/lewis_e_133/data/web/5324_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_133.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_133.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_133/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_133/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_133/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_133/index.html#page/1/mode/2up</a>,"","This Book of Hours of the Use of Troyes contains five large miniatures attributed to an artist known as the Master of the Troyes Missal (Paris, BnF, ms. lat. 865A). It was annotated and paginated by subsequent users in the eighteenth century, and is bound in an elaborately gilt late-sixteenth-century fanfare binding bearing the name of one of its early owners, Guillemette Bézard.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_133/lewis_e_133.html">http://138.197.87.173/bibliophilly/collation/lewis_e_133/lewis_e_133.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Prayer Book, Use of Cologne","Lewis E 134","German","16th century","1500-1599","Cologne, Germany","Prayer book;16th century;Christian;Germany;Original binding","http://openn.library.upenn.edu/Data/0023/lewis_e_134/data/web/5954_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_134.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_134.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_134/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_134/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_134/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_134/index.html#page/1/mode/2up</a>,"","This manuscript contains a prayer book.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","De claustro animae (The cloister of the soul)","Lewis E 135","Latin","Circa 1450","1450","England","15th century;Christian;England;Treatise;Notable binding;Theology;Notable binding","http://openn.library.upenn.edu/Data/0023/lewis_e_135/data/web/5847_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_135.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_135.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_135/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_135/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_135/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_135/index.html#page/1/mode/2up</a>,"","This manuscript contains Hugh of Fouilloy's De claustro animae (The Cloister of the Soul).",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Lectionary","Lewis E 145","Latin","1468","1468","Austria","Lectionary;15th century;Austrian;Christian;Austria;Original binding","http://openn.library.upenn.edu/Data/0023/lewis_e_145/data/web/5852_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_145.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_145.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_145/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_145/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_145/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_145/index.html#page/1/mode/2up</a>,"","",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Libellus beati misericordes (A collection of excerpts from the latin fathers)","Lewis E 149","Latin","Early 15th century","1400-1415","Belgium","Biography;15th century;Belgium;Christian;Notable binding;History","http://openn.library.upenn.edu/Data/0023/lewis_e_149/data/web/5853_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_149.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_149.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_149/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_149/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_149/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_149/index.html#page/1/mode/2up</a>,"","This manuscript contains a collection of excerpts from the Latin Fathers.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Religious manual","Lewis E 151","Latin","Circa 1450","1450","Germany","15th century;German;Germany;Miscellany;Liturgy;Musical notation","http://openn.library.upenn.edu/Data/0023/lewis_e_151/data/web/5325_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_151.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_151.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_151/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_151/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_151/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_151/index.html#page/1/mode/2up</a>,"","This is a collection of offices, followed by seven short unidentified texts.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_151/lewis_e_151.html">http://138.197.87.173/bibliophilly/collation/lewis_e_151/lewis_e_151.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Tobias (History of Tobias)","Lewis E 154","Latin","14th century","1300-1399","Italy?","Literature -- Poetry;Italian;Italy;14th century;Biblical;Allegory","http://openn.library.upenn.edu/Data/0023/lewis_e_154/data/web/4238_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_154.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_154.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_154/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_154/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_154/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_154/index.html#page/1/mode/2up</a>,"","This manuscript is an allegorical account in elegiac verse of the Biblical story of Tobit and Tobias, probably written in Italy in the fourteenth century, in rotunda script. The text is undecorated, even lacking its main initials.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_154/lewis_e_154.html">http://138.197.87.173/bibliophilly/collation/lewis_e_154/lewis_e_154.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Noted Missal, Dominican use","Lewis E 158","Latin","Circa 1275","1275","France, Paris","13th century;Missal;Historiated initial;France;French;Italy;Italian;Gothic;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_158/data/web/5411_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_158.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_158.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_158/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_158/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_158/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_158/index.html#page/1/mode/2up</a>,"","This noted Dominican Missal, likely produced in Paris, contains thirteen historiated initials by the Johannes Grusch workshop. A series of prayers for Charles I, King of Sicily (r. 1265-1285) and his family indicate an early Southern Italian or Sicilian ownership.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_158/lewis_e_158.html">http://138.197.87.173/bibliophilly/collation/lewis_e_158/lewis_e_158.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Compendium logicae (Compendium of logic)","Lewis E 165","Latin","Circa 1450","1450","Italy","15th century;Italian;Italy;Logic;Treatise;Gothic;Marginalia","http://openn.library.upenn.edu/Data/0023/lewis_e_165/data/web/5330_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_165.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_165.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_165/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_165/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_165/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_165/index.html#page/1/mode/2up</a>,"","This manuscript contains Paolo della Pergola's treatise on logic.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_165/lewis_e_165.html">http://138.197.87.173/bibliophilly/collation/lewis_e_165/lewis_e_165.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Summa de virtutibus (Treatise on the virtues); Summa vitiorum (Treatise on the vices)","Lewis E 166","Latin","Circa 1300","1300","France","14th century;France;French;Treatise;Gothic;Theology","http://openn.library.upenn.edu/Data/0023/lewis_e_166/data/web/5451_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_166.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_166.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_166/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_166/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_166/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_166/index.html#page/1/mode/2up</a>,"","This volume, written in France circa 1300, mostly consists of the Summa de vitiis of Guilelmus Peraldus, followed by a shorter treatise on the virtues, with pages of notes bound in at the beginning and end. The text is written in Gothic textualis with several changes of hand and occasional manicules in the side margins and stemmata or lists in the lower margin. Its decoration largely consists of red initials, paragraph marks, and rubrics. A dangling catchword at the end of quire 27 (fol. 222v) suggests that at least one gathering at the end of the Summa de vitiis is missing.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_166/lewis_e_166.html">http://138.197.87.173/bibliophilly/collation/lewis_e_166/lewis_e_166.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Prayer book","Lewis E 178","Latin; Low German; Low Saxon; German, Low; Saxon, Low","Circa 1450","1450","Cologne?, Germany","Prayer book;15th century;Christian;Germany;Heraldry;Woodcuts;Miniature;Gospels","http://openn.library.upenn.edu/Data/0023/lewis_e_178/data/web/5810_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_178.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_178.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_178/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_178/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_178/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_178/index.html#page/1/mode/2up</a>,"","This manuscript is a small but thick mid-fifteenth-century Latin prayer book with numerous prayers to Christ, Mary, and the saints.  Twenty rather primitive miniatures depict events or objects from the Gospels and portraits of saints.  It was written in Germany in textualis script, with a few prayers in Low German at the end (fols. 259v-261r) in a different hand.  Its flyleaves are fragments from an earlier manuscript on paper of Aristotle's Metaphysics, but the volume was rebound in the late nineteenth or early twentieth century.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Processional","Lewis E 180","Latin; French, Middle (ca.1400-1600)","1603 July 31","1603","France","Processional;17th century;Christian;France;Musical notation","http://openn.library.upenn.edu/Data/0023/lewis_e_180/data/web/5845_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_180.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_180.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_180/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_180/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_180/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_180/index.html#page/1/mode/2up</a>,"","This manuscript contains a processional (probably Franciscan).",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Psalter","Lewis E 184","Latin; German","13th century","1200-1299","France","Psalter;13th century;French;Fragment;Illumination;France;Gloss;Devotion;Liturgy;Scripture","http://openn.library.upenn.edu/Data/0023/lewis_e_184/data/web/4289_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_184.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_184.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_184/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_184/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_184/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_184/index.html#page/1/mode/2up</a>,"","This fragment of a thirteenth-century Psalter begins with Psalm 75, verse 8, continuing to Psalm 78, verse 1, and then reading from Psalm 79, verse 12 to Psalm 97, verse 1, and finally from Psalm 99, verse 6 to Psalm 103, verse 1.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_184/lewis_e_184.html">http://138.197.87.173/bibliophilly/collation/lewis_e_184/lewis_e_184.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Psalter","Lewis E 187","Latin","Circa 1270","1270","Northern France? Flanders?","Psalter;13th century;Christian;Gothic;Historiated initial;Puzzle initial;France;Flanders;Devotion","http://openn.library.upenn.edu/Data/0023/lewis_e_187/data/web/5628_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_187.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_187.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_187/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_187/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_187/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_187/index.html#page/1/mode/2up</a>,"","",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_187/lewis_e_187.html">http://138.197.87.173/bibliophilly/collation/lewis_e_187/lewis_e_187.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Psalter","Lewis E 189","Greek, Ancient (to 1453)","13th century","1200-1299","Greece?","Psalter;13th century;Greece;Christian;Illumination;Scripture","http://openn.library.upenn.edu/Data/0023/lewis_e_189/data/web/4959_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_189.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_189.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_189/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_189/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_189/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_189/index.html#page/1/mode/2up</a>,"","This manuscript is a thirteenth-century Greek psalter, in which the book of Psalms is followed by the nine Biblical Canticles and hymns. Illuminated headpieces appear in three places and the rubrics are in gold, with rubrics also added in red.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_189/lewis_e_189.html">http://138.197.87.173/bibliophilly/collation/lewis_e_189/lewis_e_189.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Rituale Dominicanum (Dominican Ritual)","Lewis E 191","Latin; German, Middle High (ca.1050-1500)","Saint Udalric of Augsburg included in litany (fol. 25v, Wolf); circa 1450","1450","Augsburg?, Germany","Prayer;15th century;Christian;Germany;Gothic;Musical notation;Liturgy;Devotion","http://openn.library.upenn.edu/Data/0023/lewis_e_191/data/web/5630_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_191.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_191.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_191/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_191/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_191/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_191/index.html#page/1/mode/2up</a>,"","This manuscript contains the Office of the Dead for a German Dominican convent, possibly in Augsburg, with some chant notation on four-line staves and extensive instructions for the performance of the Office written in German in red ink. It was written in Germany in the mid-15th century in textualis script and has alternating red and blue initials. Small finding tabs of fabric, leather, and metal have been added to the fore edge for navigation.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_191/lewis_e_191.html">http://138.197.87.173/bibliophilly/collation/lewis_e_191/lewis_e_191.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Vitae XII caesarium (Lives of the twelve caesars), fragment and Book of Hours leaf","Lewis E 195","Latin","16th century; 15th century","1500-1599","Italy France","Biography;16th century;Italy;Italian;Book of Hours;15th century;French;France;Illumination;Fragment","http://openn.library.upenn.edu/Data/0023/lewis_e_195/data/web/4290_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_195.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_195.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_195/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_195/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_195/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_195/index.html#page/1/mode/2up</a>,"","This manuscript is a fragment containing Suetonius' Lives of the Twelve Caesars, breaking off in the middle of the Life of Julius Caesar.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_195/lewis_e_195.html">http://138.197.87.173/bibliophilly/collation/lewis_e_195/lewis_e_195.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Legenda aurea (Golden Legend)","Lewis E 199","Latin","Circa 1340","1340","Flanders","Saint's Life;14th century;Flanders;Flemish;Fragment;Gloss;Gothic","http://openn.library.upenn.edu/Data/0023/lewis_e_199/data/web/4291_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_199.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_199.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_199/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_199/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_199/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_199/index.html#page/1/mode/2up</a>,"","This manuscript contains seven leaves of the text Legenda aurea (Golden Legend).",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_199/lewis_e_199.html">http://138.197.87.173/bibliophilly/collation/lewis_e_199/lewis_e_199.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Menologium","Lewis E 204","Greek, Ancient (to 1453)","1493","1493","Southern Italy?","Collection of Sermons;15th century;Illustration;Miniature;Paper;Italy;Greece;Theology;Christian","http://openn.library.upenn.edu/Data/0023/lewis_e_204/data/web/5656_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_204.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_204.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_204/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_204/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_204/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_204/index.html#page/1/mode/2up</a>,"","This manuscript is a copy dated 1493 of an eleventh-century collection of the Greek sermons of Philagathos of Cerami, also known as Theophanes Cerameus. It is written in Greek cursive script. It has decorative initials and some additional ornamentation in faded red or brown ink at the beginning of sermons or prayers, and occasional marginal corrections and notes. Three fifteenth-century Venetian miniatures on parchment are pasted into the manuscript, in one case over a page of text.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_204/lewis_e_204.html">http://138.197.87.173/bibliophilly/collation/lewis_e_204/lewis_e_204.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Stella di salute","Lewis E 205","Italian","Date of 25 February 1450 given in rubric on fol. 1r; 1450","1450","Florence?, Italy","Treatise;15th century;Italian;Christian;Colophon;Gothic;Historiated initial;Italy;Devotion;Manicules","http://openn.library.upenn.edu/Data/0023/lewis_e_205/data/web/5507_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_205.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_205.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_205/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_205/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_205/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_205/index.html#page/1/mode/2up</a>,"","This book consists of an unpublished Italian devotional treatise, composed in question-and-answer form, entitled the Stella di Salute (Star of Salvation). The text's author, as stated in the introductory rubric (fol. 1r), is a Franciscan friar by the name of Santi de Bon Cor de Sutele. The text was completed, according to the rubric, on the twenty-fifth day of February, 1450. It is unclear whether the present copy is contemporary or slightly later in date. The colophon on fol. 205v states that the scribe's name is Faustino. The text begins with an illuminated first page containing a historiated initial S depicting a haloed bishop.",Collation View: <a href=""/>,"Online? Yes",""
